chain_id,attack_id,weight,path
CH_11836611,Script / FSM corruption AP-A1,0.6,AP>SI
CH_11836611,Unauth. APIs AP-A2,0.8,AP>SI
CH_11836611,Unsigned OTA / CI chain AP-A3,0.75,AP>SI
CH_11836611,Twin overload / sim gap AP-A4,0.3,AP>SI
CH_11836611,Runtime param tamper AP-A5,0.8,AP>SI
CH_08436955,Adv. examples (vision/RL) DM-A1,0.6,DM>AP
CH_08436955,Sequential perturbations DM-A2,0.6,DM>AP
CH_08436955,Slow fuse / concept drift DM-A3,0.6,DM>AP
CH_08436955,Reward hacking / spec gaming DM-A4,0.4,DM>AP
CH_08436955,Model poisoning / FL backdoor DM-A5,0.5,DM>AP
CH_08436955,Physical backdoor trigger DM-A6,0.5,DM>AP
CH_08436955,FSM logic bombs DM-A7,0.75,DM>AP
CH_08436955,Param-gain tampering DM-A8,0.6,DM>AP
CH_08436955,Planner cost manipulation DM-A9,0.6,DM>AP
CH_08436955,Malicious OTA update DM-A10,0.75,DM>AP
CH_08436955,Trojaned pretrained model DM-A11,0.6,DM>AP
CH_46915156,Timing-channel jitter DP-A1,0.2,DP>DM
CH_46915156,Memory-safety overflow DP-A2,1.0,DP>DM
CH_46915156,Race / TOCTOU on buffers DP-A3,0.6,DP>DM
CH_46915156,Estimator-bias tampering DP-A4,0.6,DP>DM
CH_94718321,Topic spoof / GUID hijack MW-A1,0.8,MW>AP
CH_94718321,Replay / stale frame MW-A2,0.6,MW>AP
CH_94718321,Plain-text sniff / exfil MW-A3,0.6,MW>AP
CH_94718321,Discovery abuse / DoS MW-A4,0.6,MW>AP
CH_31798355,Firmware reflashing P-A1,0.75,P>DP
CH_31798355,Sensor-bias (magnet/IR) P-A2,0.6,P>DP
CH_31798355,Power-rail surges P-A3,0.4,P>DP
CH_31798355,Field-level tampering P-A4,0.45,P>DP
CH_31798355,Acoustic / EM side-channel P-A5,0.2,P>DP
CH_65132645,Firmware reflashing P-A1,0.75,P>S
CH_65132645,Sensor-bias (magnet/IR) P-A2,0.6,P>S
CH_65132645,Power-rail surges P-A3,0.4,P>S
CH_65132645,Field-level tampering P-A4,0.45,P>S
CH_65132645,Acoustic / EM side-channel P-A5,0.2,P>S
CH_50417794,Active optical LiDAR spoof SP-A1,0.6,S>DP
CH_50417794,Camera/Depth blinding SP-A2,0.8,S>DP
CH_50417794,Ultrasound / EMI IMU drift SP-A3,0.6,S>DP
CH_50417794,Physical adversarial patches SP-A4,0.45,S>DP
CH_50417794,Sensor-driven privacy leak SP-A5,0.45,S>DP
CH_39376839,Adv. examples (vision/RL) DM-A1,0.6,DM>AP>SI
CH_39376839,Sequential perturbations DM-A2,0.6,DM>AP>SI
CH_39376839,Slow fuse / concept drift DM-A3,0.6,DM>AP>SI
CH_39376839,Reward hacking / spec gaming DM-A4,0.4,DM>AP>SI
CH_39376839,Model poisoning / FL backdoor DM-A5,0.5,DM>AP>SI
