robot,attack_id,path,hops,weight,prop_factor,prop_gmean,prop_bottleneck,uncovered_prod,min_coverage,CRR,CCI,rank_metric
Digit,Memory-safety overflow DP-A2,DP>DM>AP,2,1.0,0.4514,0.671863,0.61,0.25025,0.3,0.112963,0.887037,0.168134
Digit,Camera/Depth blinding SP-A2,S>DP>DM,2,0.8,0.4144,0.643739,0.56,0.29575,0.3,0.098047,0.901953,0.152309
Digit,Firmware reflashing P-A1,P>S>DP,2,0.75,0.2688,0.518459,0.48,0.3185,0.3,0.06421,0.93579,0.123847
Digit,Active optical LiDAR spoof SP-A1,S>DP>DM,2,0.6,0.4144,0.643739,0.56,0.29575,0.3,0.073535,0.926465,0.114231
Digit,Ultrasound / EMI IMU drift SP-A3,S>DP>DM,2,0.6,0.4144,0.643739,0.56,0.29575,0.3,0.073535,0.926465,0.114231
Digit,Firmware reflashing P-A1,P>DP>DM,2,0.75,0.1998,0.44699,0.27,0.3185,0.3,0.047727,0.952273,0.106775
Digit,Race / TOCTOU on buffers DP-A3,DP>DM>AP,2,0.6,0.4514,0.671863,0.61,0.25025,0.3,0.067778,0.932222,0.10088
Digit,Estimator-bias tampering DP-A4,DP>DM>AP,2,0.6,0.4514,0.671863,0.61,0.25025,0.3,0.067778,0.932222,0.10088
Digit,Sensor-bias (magnet/IR) P-A2,P>S>DP,2,0.6,0.2688,0.518459,0.48,0.3185,0.3,0.051368,0.948632,0.099078
Digit,FSM logic bombs DM-A7,DM>AP>SI,2,0.75,0.3721,0.61,0.61,0.2145,0.35,0.059862,0.940138,0.098134
Digit,Malicious OTA update DM-A10,DM>AP>SI,2,0.75,0.3721,0.61,0.61,0.2145,0.35,0.059862,0.940138,0.098134
Digit,Memory-safety overflow DP-A2,DP>DM>AP>SI,3,1.0,0.275354,0.650575,0.61,0.15015,0.3,0.041344,0.958656,0.097684
Digit,Firmware reflashing P-A1,P>S>DP>DM,3,0.75,0.198912,0.583741,0.48,0.207025,0.3,0.030885,0.969115,0.090637
Digit,Physical adversarial patches SP-A4,S>DP>DM,2,0.45,0.4144,0.643739,0.56,0.29575,0.3,0.055151,0.944849,0.085674
Digit,Sensor-driven privacy leak SP-A5,S>DP>DM,2,0.45,0.4144,0.643739,0.56,0.29575,0.3,0.055151,0.944849,0.085674
Digit,Sensor-bias (magnet/IR) P-A2,P>DP>DM,2,0.6,0.1998,0.44699,0.27,0.3185,0.3,0.038182,0.961818,0.08542
Digit,Camera/Depth blinding SP-A2,S>DP>DM>AP,3,0.8,0.252784,0.63229,0.56,0.162662,0.3,0.032895,0.967105,0.08228
Digit,Adv. examples (vision/RL) DM-A1,DM>AP>SI,2,0.6,0.3721,0.61,0.61,0.2145,0.35,0.047889,0.952111,0.078507
Digit,Sequential perturbations DM-A2,DM>AP>SI,2,0.6,0.3721,0.61,0.61,0.2145,0.35,0.047889,0.952111,0.078507
Digit,Slow fuse / concept drift DM-A3,DM>AP>SI,2,0.6,0.3721,0.61,0.61,0.2145,0.35,0.047889,0.952111,0.078507
Digit,Param-gain tampering DM-A8,DM>AP>SI,2,0.6,0.3721,0.61,0.61,0.2145,0.35,0.047889,0.952111,0.078507
Digit,Planner cost manipulation DM-A9,DM>AP>SI,2,0.6,0.3721,0.61,0.61,0.2145,0.35,0.047889,0.952111,0.078507
Digit,Trojaned pretrained model DM-A11,DM>AP>SI,2,0.6,0.3721,0.61,0.61,0.2145,0.35,0.047889,0.952111,0.078507
Digit,Field-level tampering P-A4,P>S>DP,2,0.45,0.2688,0.518459,0.48,0.3185,0.3,0.038526,0.961474,0.074308
Digit,Sensor-bias (magnet/IR) P-A2,P>S>DP>DM,3,0.6,0.198912,0.583741,0.48,0.207025,0.3,0.024708,0.975292,0.072509
Digit,Power-rail surges P-A3,P>S>DP,2,0.4,0.2688,0.518459,0.48,0.3185,0.3,0.034245,0.965755,0.066052
Digit,Model poisoning / FL backdoor DM-A5,DM>AP>SI,2,0.5,0.3721,0.61,0.61,0.2145,0.35,0.039908,0.960092,0.065423
Digit,Physical backdoor trigger DM-A6,DM>AP>SI,2,0.5,0.3721,0.61,0.61,0.2145,0.35,0.039908,0.960092,0.065423
Digit,Firmware reflashing P-A1,P>DP>DM>AP,3,0.75,0.121878,0.495802,0.27,0.175175,0.3,0.016012,0.983988,0.065139
Digit,Field-level tampering P-A4,P>DP>DM,2,0.45,0.1998,0.44699,0.27,0.3185,0.3,0.028636,0.971364,0.064065
