Paper_ID,Title,author,publication venue,year,abstract,,,,,,,,,,,,,,
1,Security of Controlled Manufacturing Systems in the Connected Factory: The Case of Industrial Robots,"Marcello Pogliani, Davide Quarta, Mario Polino, Martino Vittone, Federico Maggi, Stefano Zanero",Journal of Computer Virology and Hacking Techniques,2019,"This paper presents a holistic view of cybersecurity risks in controlled manufacturing systems such as industrial robots, emphasizing their integration into modern factory networks and the legacy challenges that arise from untrusted networked environments.",,,,,,,,,,,,,,
2,Scanning the Internet for ROS: A View of Security in Robotics Research,"Nicholas DeMarinis, Stefanie Tellex, Vasileios P. Kemerlis, George Konidaris, Rodrigo Fonseca",IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),2019,"A global scan revealed many ROS-based robotic systems exposed to the public internet, posing serious cybersecurity risks. This study assesses the vulnerabilities and recommends best practices for improving security in robotics research.",,,,,,,,,,,,,,
3,Hacking Robots Before Skynet,"Cesar Cerrudo, Lucas Apa",IOActive (Technical Report),2017,"This report examines the security risks posed by internet-connected and industrial robots, emphasizing the urgent need for cybersecurity measures to prevent exploitation and damage by adversaries.",,,,,,,,,,,,,,
4,Formalizing the Execution Context of Behavior Trees for Runtime Verification of Deliberative Policies,"Michele Colledanchise, G. Cicala, D. E. Domenichelli, L. Natale, A. Tacchella",IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),2021,"This study proposes a formal framework to model Behavior Trees (BTs) in robotic control software for runtime verification, using a message-passing paradigm and formal monitoring language.",,,,,,,,,,,,,,
5,Procedurally Provisioned Access Control for Robotic Systems,"R. White, G. Caiazza, H. I. Christensen, A. Cortesi",IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),2018,"The paper introduces a procedural approach to provisioning and verifying access control policies in robotic middleware environments, specifically in ROS2 with Secure DDS support.",,,,,,,,,,,,,,
6,Implementing a Robot Intrusion Prevention System (RIPS) for ROS 2,"E. Soriano Salvador, F. MartÃ­n Rico, G. Guardiola MÃºzquiz",arXiv preprint arXiv:2412.19272,2024,"This work develops an intrusion prevention system specifically tailored to robotic platforms based on ROS 2, describing its architecture, threat model, and evaluation with real-world robotic testbeds.",,,,,,,,,,,,,,
7,Novel Denial-of-Service Attacks against Cloud-Based Multi-Robot Systems,"Y. Xu, G. Deng, T. Zhang, H. Qiu, Y. Bao",Information Sciences,2021,"This paper presents three new denial-of-service attacks targeting cloud-based multi-robot systems, revealing vulnerabilities in network usage, micro-architecture resources, and function-level operations. The evaluation highlights severe consequences on system performance.",,,,,,,,,,,,,,
8,Robot Learning from Randomized Simulations: A Review,"F. Muratore, F. Ramos, G. Turk, W. Yu, M. Gienger, J. Peters",arXiv preprint arXiv:2111.00956,2022,"This survey discusses robot learning strategies that leverage randomized simulations (sim-to-real transfer), highlighting trends, challenges, and methodologies to improve real-world deployment of learned robotic behaviors.",,,,,,,,,,,,,,
9,Digital Twin Enabled Runtime Verification for Autonomous Mobile Robots under Uncertainty,"J. S. Betzer, J. Boudjadar, M. Frasheri, P. Talasila",arXiv preprint arXiv:2412.09913,2024,This paper introduces a real-time runtime verification approach using digital twins to monitor autonomous mobile robots in uncertain environments. It includes safety and performance monitoring with dynamic intervention capabilities.,,,,,,,,,,,,,,
10,DolphinAttack: Inaudible Voice Commands,"Gong Zhang, Chen Yan, Xiaoyu Ji, Tianchen Zhang, Taimin Zhang, Wenyuan Xu",Proceedings of the ACM Conference on Computer and Communications Security (CCS),2017,The DolphinAttack demonstrates that inaudible ultrasonic voice commands can be used to control smart devices by exploiting the non-linearity of MEMS microphones. The study shows the feasibility of these attacks and suggests mitigation strategies.,,,,,,,,,,,,,,
11,Light Commands: Laser-Based Audio Injection Attacks on Voice-Controllable Systems,"Takeshi Sugawara, Benjamin Cyr, Sara Rampazzi, Daniel Genkin, Kevin Fu",Proceedings of USENIX Security Symposium,2020,This research reveals that laser light can be modulated to inject malicious audio into voice-controlled devices from long distances. The attack exploits MEMS microphone vulnerabilities and demonstrates real-world risks including unauthorized door access and online purchases.,,,,,,,,,,,,,,
12,CommanderSong: A Systematic Approach for Practical Adversarial Voice Recognition,"Xuejing Yuan, Yuxuan Chen, Yue Zhao, Yunhui Long, Xiaokang Liu, Kai Chen",USENIX Security Symposium,2018,"CommanderSong embeds voice commands into songs, enabling adversarial voice attacks against ASR systems in a stealthy and remote manner. The attacks can be distributed through online platforms like YouTube or radio.",,,,,,,,,,,,,,
