Paper_ID,included,Title,author,publication,year,abstract
P001,TRUE,Analyzing Impact and System-Wide Effects of the SlowROS Attack in an Industrial Automation Scenario,Ivan Cibrario Bertolotti; Luca Durante; Enrico Cambiaso,Future Internet,2025,"“SlowROS” adapts the classic Slowloris DoS to ROS publishers by dribbling TCP segments; experiments on a pick-and-place line show up to 92 % CPU load and 75 % latency inflation in critical nodes	 cascading into missed deadlines at the PLC layer. The authors quantify attack surfaces and propose QoS-rate throttles as a partial fix. (mdpi.com)"""""""
P334,TRUE,CVE-2018-5268: Heap Overflow in OpenCV 3.3.1 JPEG2000 Decoder,MITRE CVE team,National Vulnerability Database entry,2018,"A crafted JPEG2000 image can trigger a heap-based buffer overflow in cv::Jpeg2KDecoder::readComponent8u	 leading to denial-of-service or potential code execution in any vision stack that links against the vulnerable OpenCV build. NVD rates the flaw CVSS 3.1 5.5 (MEDIUM). Patch released in OpenCV 3.4.4. (nvd.nist.gov)"""""""
P335,TRUE,Can ROS Be Used Securely in Industry? Red Teaming ROS-Industrial,Víctor Mayoral-Vilches; Martin Pinzger; Stefan Rass; Bernhard Dieber,IEEE ICRA,2020,"A full “red-team” exercise against a synthetic ROS-Industrial cell uncovers four attack classes—topic hijacking	 parameter poisoning	 file-system exploits	 and privilege escalation—that let testers seize most robot endpoints. The study concludes that vanilla ROS1 deployments remain hard to secure without additional controls	 although a few hardened nodes withstood compromise. (arxiv.org)"""""""
P336,TRUE,Scanning the Internet for ROS: A View of Security in Robotics Research,"Nicholas DeMarinis	 Stefanie Tellex	 Vasileios P. Kemerlis	 George Konidaris	 Rodrigo Fonseca""""",IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),2019,"A global scan revealed many ROS-based robotic systems exposed to the public internet"""
P342,TRUE,dr0wned—Cyber-Physical Attack with Additive Manufacturing,Sergey Belikovetsky; Mohammed Yampolskiy; Jingxian Toh; Jason Gatlin; Yuval Elovici,WOOT,2017,"Alters an STL model for a drone’s propeller so the printed part passes visual QA yet fractures after ?35 minutes of flight	 crashing the UAV. The case study highlights additive-manufacturing supply-chain risks and recommends layer-by-layer hashing. (usenix.org)"""""""
P347,TRUE,Aurora Guard: Real-Time Face Anti-Spoofing via Light Reflection,"Yao Liu	 Ying Tai	 Jilin Li	 Shengjie Ding	 Chengjie Wang	 Feiyue Huang""""",arXiv preprint arXiv:1902.10311,2019,"Aurora Guard introduces a fast"""
P351,TRUE,Managing End-to-End Timing Jitters in ROS 2 Computation Chains,H. Abaza; D. Roy; Y. Liu; B. Trach; S. Saidi,RTNS (Real-Time Networks & Systems),2024,"Builds a static-analysis tool plus runtime shim that tracks each hop in a ROS 2 message chain and applies priority inheritance	 CPU isolation	 and memory pinning to cap worst-case delay. On a camera ? detector ? planner ? actuator pipeline	 the approach slashes the 99th-percentile end-to-end jitter from 42 ms to < 4 ms without breaking ROS API compatibility. (dl.acm.org	 linknovate.com	 linkedin.com)"""""""
P352,TRUE,Detecting Data Injection Attacks in ROS Systems Using Machine Learning,Rodrigo A. Antunes; Bruno L. Dalmazo; Paulo L. J. Drews,LARS/SBR/WRE,2022,"Capturing ROS TCP traffic features	 the authors train an SVM classifier that flags forged telemetry with ?92 % accuracy and <4 % false positives in Gazebo-simulated nav stacks	 demonstrating ML-based IDS viability for ROS-1 networks. (researchgate.net)"""""""
P353,TRUE,Anomaly Detection and Concept Drift Adaptation for Dynamic Systems: A General Method Using an Industrial Collaborative Robot,Qifeng Zhang; Fei Sun; Yu Lu,Sensors,2023,"Combines incremental clustering with KL-divergence drift tests to flag both sudden anomalies and slow statistical shifts in cobot telemetry. On a UR10e welding line	 the system catches 97 % of actuator faults and adapts thresholds within five cycles after a tooling change	 avoiding false alarms during normal retuning. (mdpi.com)"""""""
P354,TRUE,CommanderSong: A Systematic Approach for Practical Adversarial Voice Recognition,"Xuejing Yuan	 Yuxuan Chen	 Yue Zhao	 Yunhui Long	 Xiaokang Liu	 Kai Chen""""",USENIX Security Symposium,2018,"CommanderSong embeds voice commands into songs"""
